datetime,total_tweets,total_climate_tweets,high_engagement_climate_tweets,week,year,week_id
2019-11-10 00:00:00+00:00,19678,9,6.0,45,2019,2019_45
2019-11-17 00:00:00+00:00,20234,18,3.0,46,2019,2019_46
2019-11-24 00:00:00+00:00,20170,8,3.0,47,2019,2019_47
2019-12-01 00:00:00+00:00,18555,17,4.0,48,2019,2019_48
2019-12-08 00:00:00+00:00,19704,22,9.0,49,2019,2019_49
2019-12-15 00:00:00+00:00,19951,45,23.0,50,2019,2019_50
2019-12-22 00:00:00+00:00,19279,7,4.0,51,2019,2019_51
2019-12-29 00:00:00+00:00,15057,3,0.0,52,2019,2019_52
2020-01-05 00:00:00+00:00,16080,8,4.0,1,2020,2020_1
2020-01-12 00:00:00+00:00,18874,15,3.0,2,2020,2020_2
2020-01-19 00:00:00+00:00,19565,11,3.0,3,2020,2020_3
2020-01-26 00:00:00+00:00,19409,53,24.0,4,2020,2020_4
2020-02-02 00:00:00+00:00,19673,7,2.0,5,2020,2020_5
2020-02-09 00:00:00+00:00,19658,10,2.0,6,2020,2020_6
2020-02-16 00:00:00+00:00,19003,10,6.0,7,2020,2020_7
2020-02-23 00:00:00+00:00,18088,3,0.0,8,2020,2020_8
2020-03-01 00:00:00+00:00,19083,9,3.0,9,2020,2020_9
2020-03-08 00:00:00+00:00,19438,8,3.0,10,2020,2020_10
2020-03-15 00:00:00+00:00,20046,1,0.0,11,2020,2020_11
2020-03-22 00:00:00+00:00,20655,0,0.0,12,2020,2020_12
2020-03-29 00:00:00+00:00,20474,1,0.0,13,2020,2020_13
2020-04-05 00:00:00+00:00,20542,0,0.0,14,2020,2020_14
2020-04-12 00:00:00+00:00,19937,3,0.0,15,2020,2020_15
2020-04-19 00:00:00+00:00,20226,2,0.0,16,2020,2020_16
2020-04-26 00:00:00+00:00,20647,8,3.0,17,2020,2020_17
2020-05-03 00:00:00+00:00,20322,0,0.0,18,2020,2020_18
2020-05-10 00:00:00+00:00,20389,1,0.0,19,2020,2020_19
2020-05-17 00:00:00+00:00,20278,4,2.0,20,2020,2020_20
2020-05-24 00:00:00+00:00,20087,3,1.0,21,2020,2020_21
2020-05-31 00:00:00+00:00,19074,1,0.0,22,2020,2020_22
2020-06-07 00:00:00+00:00,20052,3,0.0,23,2020,2020_23
2020-06-14 00:00:00+00:00,19699,0,0.0,24,2020,2020_24
2020-06-21 00:00:00+00:00,19638,2,0.0,25,2020,2020_25
2020-06-28 00:00:00+00:00,19309,1,0.0,26,2020,2020_26
2020-07-05 00:00:00+00:00,19098,2,1.0,27,2020,2020_27
2020-07-12 00:00:00+00:00,19150,2,0.0,28,2020,2020_28
2020-07-19 00:00:00+00:00,19341,14,8.0,29,2020,2020_29
2020-07-26 00:00:00+00:00,19690,8,5.0,30,2020,2020_30
2020-08-02 00:00:00+00:00,19856,3,1.0,31,2020,2020_31
2020-08-09 00:00:00+00:00,19248,1,0.0,32,2020,2020_32
2020-08-16 00:00:00+00:00,18892,1,0.0,33,2020,2020_33
2020-08-23 00:00:00+00:00,19984,13,8.0,34,2020,2020_34
2020-08-30 00:00:00+00:00,20131,5,1.0,35,2020,2020_35
2020-09-06 00:00:00+00:00,18567,12,2.0,36,2020,2020_36
2020-09-13 00:00:00+00:00,19182,10,3.0,37,2020,2020_37
2020-09-20 00:00:00+00:00,20432,3,3.0,38,2020,2020_38
2020-09-27 00:00:00+00:00,20837,17,5.0,39,2020,2020_39
2020-10-04 00:00:00+00:00,20493,19,4.0,40,2020,2020_40
2020-10-11 00:00:00+00:00,19816,2,0.0,41,2020,2020_41
2020-10-18 00:00:00+00:00,19377,4,2.0,42,2020,2020_42
2020-10-25 00:00:00+00:00,19700,8,1.0,43,2020,2020_43
2020-11-01 00:00:00+00:00,19683,2,0.0,44,2020,2020_44
2020-11-08 00:00:00+00:00,20544,3,1.0,45,2020,2020_45
2020-11-15 00:00:00+00:00,19564,1,1.0,46,2020,2020_46
2020-11-22 00:00:00+00:00,19476,1,0.0,47,2020,2020_47
2020-11-29 00:00:00+00:00,18687,1,0.0,48,2020,2020_48
2020-12-06 00:00:00+00:00,19786,9,3.0,49,2020,2020_49
2020-12-13 00:00:00+00:00,20206,14,10.0,50,2020,2020_50
2020-12-20 00:00:00+00:00,19821,5,0.0,51,2020,2020_51
2020-12-27 00:00:00+00:00,16748,1,0.0,52,2020,2020_52
2021-01-03 00:00:00+00:00,16400,4,2.0,53,2020,2020_53
2021-01-10 00:00:00+00:00,19338,7,0.0,1,2021,2021_1
2021-01-17 00:00:00+00:00,19898,4,0.0,2,2021,2021_2
2021-01-24 00:00:00+00:00,20288,1,0.0,3,2021,2021_3
2021-01-31 00:00:00+00:00,19864,9,2.0,4,2021,2021_4
2021-02-07 00:00:00+00:00,19517,2,1.0,5,2021,2021_5
2021-02-14 00:00:00+00:00,20339,4,3.0,6,2021,2021_6
2021-02-21 00:00:00+00:00,19396,13,2.0,7,2021,2021_7
2021-02-28 00:00:00+00:00,19883,2,0.0,8,2021,2021_8
2021-03-07 00:00:00+00:00,19979,0,0.0,9,2021,2021_9
2021-03-14 00:00:00+00:00,20021,5,5.0,10,2021,2021_10
2021-03-21 00:00:00+00:00,19631,2,1.0,11,2021,2021_11
2021-03-28 00:00:00+00:00,20592,5,1.0,12,2021,2021_12
2021-04-04 00:00:00+00:00,18983,6,0.0,13,2021,2021_13
2021-04-11 00:00:00+00:00,19476,17,5.0,14,2021,2021_14
